condition	scope	eligible_cases	scored_cases	coverage	correct	accuracy	coverage_adjusted_accuracy	macro_f1	balanced_accuracy	change_f1
diagram_on	all	847	627	0.7402597402597403	456	0.7272727272727273	0.538370720188902	0.669963279047419	0.7008669546303955	0.8024132730015083
diagram_on	development	344	223	0.6482558139534884	167	0.7488789237668162	0.48546511627906974	0.7276180423109063	0.7575866188769415	0.8202406227883935
diagram_on	held_out	503	404	0.8031809145129225	289	0.7153465346534653	0.5745526838966203	0.6178295680878584	0.6376156964917	0.7922905706191825
diagram_off	all	847	627	0.7402597402597403	444	0.7081339712918661	0.5242030696576151	0.6556331644812202	0.6891309009588579	0.7818036561868509
diagram_off	development	344	223	0.6482558139534884	164	0.7354260089686099	0.47674418604651164	0.7157127772799744	0.7467144563918757	0.8023827252419956
diagram_off	held_out	503	404	0.8031809145129225	280	0.693069306930693	0.5566600397614314	0.6036424700194422	0.6275552346025138	0.7694637050291633
